,Inputs,Directions,Energy
0,HHHHP,SRRRL,1
1,HHHHP,SRRRF,1
2,HHHHP,SRRLR,0
3,HHHHP,SRRLL,0
4,HHHHP,SRRLF,0
5,HHHHP,SRRFR,0
6,HHHHP,SRRFL,0
7,HHHHP,SRRFF,0
8,HHHHP,SRLRR,0
9,HHHHP,SRLRL,0
10,HHHHP,SRLRF,0
11,HHHHP,SRLLR,1
12,HHHHP,SRLLF,1
13,HHHHP,SRLFR,0
14,HHHHP,SRLFL,0
15,HHHHP,SRLFF,0
16,HHHHP,SRFRR,0
17,HHHHP,SRFRL,0
18,HHHHP,SRFRF,0
19,HHHHP,SRFLR,0
20,HHHHP,SRFLL,0
21,HHHHP,SRFLF,0
22,HHHHP,SRFFR,0
23,HHHHP,SRFFL,0
24,HHHHP,SRFFF,0
25,HHHHP,SLRRL,1
26,HHHHP,SLRRF,1
27,HHHHP,SLRLR,0
28,HHHHP,SLRLL,0
29,HHHHP,SLRLF,0
30,HHHHP,SLRFR,0
31,HHHHP,SLRFL,0
32,HHHHP,SLRFF,0
33,HHHHP,SLLRR,0
34,HHHHP,SLLRL,0
35,HHHHP,SLLRF,0
36,HHHHP,SLLLR,1
37,HHHHP,SLLLF,1
38,HHHHP,SLLFR,0
39,HHHHP,SLLFL,0
40,HHHHP,SLLFF,0
41,HHHHP,SLFRR,0
42,HHHHP,SLFRL,0
43,HHHHP,SLFRF,0
44,HHHHP,SLFLR,0
45,HHHHP,SLFLL,0
46,HHHHP,SLFLF,0
47,HHHHP,SLFFR,0
48,HHHHP,SLFFL,0
49,HHHHP,SLFFF,0
50,HHHHP,SFRRL,1
51,HHHHP,SFRRF,1
52,HHHHP,SFRLR,0
53,HHHHP,SFRLL,0
54,HHHHP,SFRLF,0
55,HHHHP,SFRFR,0
56,HHHHP,SFRFL,0
57,HHHHP,SFRFF,0
58,HHHHP,SFLRR,0
59,HHHHP,SFLRL,0
60,HHHHP,SFLRF,0
61,HHHHP,SFLLR,1
62,HHHHP,SFLLF,1
63,HHHHP,SFLFR,0
64,HHHHP,SFLFL,0
65,HHHHP,SFLFF,0
66,HHHHP,SFFRR,0
67,HHHHP,SFFRL,0
68,HHHHP,SFFRF,0
69,HHHHP,SFFLR,0
70,HHHHP,SFFLL,0
71,HHHHP,SFFLF,0
72,HHHHP,SFFFR,0
73,HHHHP,SFFFL,0
74,HHHHP,SFFFF,0
75,HHHPH,SRRRL,0
76,HHHPH,SRRRF,0
77,HHHPH,SRRLR,0
78,HHHPH,SRRLL,1
79,HHHPH,SRRLF,0
80,HHHPH,SRRFR,0
81,HHHPH,SRRFL,0
82,HHHPH,SRRFF,0
83,HHHPH,SRLRR,1
84,HHHPH,SRLRL,0
85,HHHPH,SRLRF,0
86,HHHPH,SRLLR,0
87,HHHPH,SRLLF,0
88,HHHPH,SRLFR,0
89,HHHPH,SRLFL,0
90,HHHPH,SRLFF,0
91,HHHPH,SRFRR,1
92,HHHPH,SRFRL,0
93,HHHPH,SRFRF,0
94,HHHPH,SRFLR,0
95,HHHPH,SRFLL,1
96,HHHPH,SRFLF,0
97,HHHPH,SRFFR,0
98,HHHPH,SRFFL,0
99,HHHPH,SRFFF,0
100,HHHPH,SLRRL,0
101,HHHPH,SLRRF,0
102,HHHPH,SLRLR,0
103,HHHPH,SLRLL,1
104,HHHPH,SLRLF,0
105,HHHPH,SLRFR,0
106,HHHPH,SLRFL,0
107,HHHPH,SLRFF,0
108,HHHPH,SLLRR,1
109,HHHPH,SLLRL,0
110,HHHPH,SLLRF,0
111,HHHPH,SLLLR,0
112,HHHPH,SLLLF,0
113,HHHPH,SLLFR,0
114,HHHPH,SLLFL,0
115,HHHPH,SLLFF,0
116,HHHPH,SLFRR,1
117,HHHPH,SLFRL,0
118,HHHPH,SLFRF,0
119,HHHPH,SLFLR,0
120,HHHPH,SLFLL,1
121,HHHPH,SLFLF,0
122,HHHPH,SLFFR,0
123,HHHPH,SLFFL,0
124,HHHPH,SLFFF,0
125,HHHPH,SFRRL,0
126,HHHPH,SFRRF,0
127,HHHPH,SFRLR,0
128,HHHPH,SFRLL,1
